case_group,case_id,schema,name1,name2,is_match,category,notes,score,predicted_match,outcome
nk_checks,001,Person,Olaf Scholze,Olaf Scholz,true,,,0.9286,true,TP
nk_checks,002,Person,Olaf Schulze,Olaf Scholz,false,,,0.8344,true,FP
nk_checks,003,Person,Octavian Scholz,Olaf Scholz,false,,,0.5000,false,TN
nk_checks,004,Person,Angelo Cruz,Angela Merkel,false,,,0.3673,false,TN
nk_checks,005,Person,Angelo Mercaz,Angela Merkel,false,,,0.3673,false,TN
nk_checks,006,Person,Angela Merkur,Angela Merkel,false,,,0.5000,false,TN
nk_checks,007,Company,Siemens Aktiengesellschaft,Siemens AG,true,,,1.0000,true,TP
nk_checks,008,Company,SiemensAG,Siemens AG,true,,,0.9800,true,TP
nk_checks,009,Company,Siemens Aktiengeselschaft,Siemens AG,true,,,1.0000,true,TP
nk_checks,010,Company,Volkswagen Aktiengesellschaft,Siemens Aktiengesellschaft,false,,,0.4118,false,TN
nk_checks,011,Person,Shaikh Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,,,1.0000,true,TP
nk_checks,012,Person,Isa Bin Tarif Al Bin Ali,Shaikh Isa Bin Tarif Al Bin Ali,true,,,0.9772,true,TP
nk_checks,013,Person,"AL BEN ALI, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,true,,,0.9578,true,TP
nk_checks,014,Person,Usama bin Laden,Shaikh Isa Bin Tarif Al Bin Ali,false,,,0.2826,false,TN
nk_checks,015,Person,"AL BEN MAHMOUD, Isa Ben Tarif",Shaikh Isa Bin Tarif Al Bin Ali,false,,,0.7468,true,FP
nk_checks,016,Person,MOHAMMADHASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,,,0.8000,true,TP
nk_checks,017,Person,MOHAMMAD HASNI HAJI SSAD KHAN ZARKARI,HAJI ASAD KHAN ZARKARI MOHAMMADHASNI,true,,,0.7973,true,TP
nk_checks,018,Person,Hans Friedrich,Hans Friedrich,true,,,1.0000,true,TP
nk_checks,019,Person,Friedrich Hans,Hans Friedrich,false,,,1.0000,true,FP
nk_checks,020,Person,Hans O Friedrich,Hans Joachim Friedrich,false,,,0.6667,false,TN
nk_checks,021,Person,Hans J Friedrich,Hans Joachim Friedrich,true,,,0.6667,false,FN
nk_checks,022,Person,REINALDO GREGORIO LENIN CERNA JUARE,Reinaldo Lenin Gregorio Cerna Juarez,true,,,0.9667,true,TP
